C7DB  EA        NOP                               A:80 X:00 Y:00 P:A4 SP:FB CYC:160
C7DC  A9 FF     LDA #$FF                          A:80 X:00 Y:00 P:A4 SP:FB CYC:162
C7DE  85 01     STA $01 = 00                      A:FF X:00 Y:00 P:A4 SP:FB CYC:164
C7E0  24 01     BIT $01 = FF                      A:FF X:00 Y:00 P:A4 SP:FB CYC:167
C7E2  A9 00     LDA #$00                          A:FF X:00 Y:00 P:E4 SP:FB CYC:170
C7E4  38        SEC                               A:00 X:00 Y:00 P:66 SP:FB CYC:172
C7E5  78        SEI                               A:00 X:00 Y:00 P:67 SP:FB CYC:174
C7E6  F8        SED                               A:00 X:00 Y:00 P:67 SP:FB CYC:176
C7E7  08        PHP                               A:00 X:00 Y:00 P:6F SP:FB CYC:178
C7E8  68        PLA                               A:00 X:00 Y:00 P:6F SP:FA CYC:181
C7E9  29 EF     AND #$EF                          A:7F X:00 Y:00 P:6D SP:FB CYC:185
C7EB  C9 6F     CMP #$6F                          A:6F X:00 Y:00 P:6D SP:FB CYC:187
C7ED  F0 04     BEQ $C7F3                         A:6F X:00 Y:00 P:6F SP:FB CYC:189
C7F3  EA        NOP                               A:6F X:00 Y:00 P:6F SP:FB CYC:191
C7F4  A9 40     LDA #$40                          A:6F X:00 Y:00 P:6F SP:FB CYC:193
C7F6  85 01     STA $01 = FF                      A:40 X:00 Y:00 P:6D SP:FB CYC:195
C7F8  24 01     BIT $01 = 40                      A:40 X:00 Y:00 P:6D SP:FB CYC:198
C7FA  D8        CLD                               A:40 X:00 Y:00 P:6D SP:FB CYC:201
C7FB  A9 10     LDA #$10                          A:40 X:00 Y:00 P:65 SP:FB CYC:203
C7FD  18        CLC                               A:10 X:00 Y:00 P:65 SP:FB CYC:205
C7FE  08        PHP                               A:10 X:00 Y:00 P:64 SP:FB CYC:207
C7FF  68        PLA                               A:10 X:00 Y:00 P:64 SP:FA CYC:210
C800  29 EF     AND #$EF                          A:74 X:00 Y:00 P:64 SP:FB CYC:214
C802  C9 64     CMP #$64                          A:64 X:00 Y:00 P:64 SP:FB CYC:216
C804  F0 04     BEQ $C80A                         A:64 X:00 Y:00 P:67 SP:FB CYC:218
C80A  EA        NOP                               A:64 X:00 Y:00 P:67 SP:FB CYC:220
C80B  A9 80     LDA #$80                          A:64 X:00 Y:00 P:67 SP:FB CYC:222
C80D  85 01     STA $01 = 40                      A:80 X:00 Y:00 P:E5 SP:FB CYC:224
C80F  24 01     BIT $01 = 80                      A:80 X:00 Y:00 P:E5 SP:FB CYC:227
C811  F8        SED                               A:80 X:00 Y:00 P:A5 SP:FB CYC:230
C812  A9 00     LDA #$00                          A:80 X:00 Y:00 P:AD SP:FB CYC:232
C814  38        SEC                               A:00 X:00 Y:00 P:2F SP:FB CYC:234
C815  08        PHP                               A:00 X:00 Y:00 P:2F SP:FB CYC:236
C816  68        PLA                               A:00 X:00 Y:00 P:2F SP:FA CYC:239
C817  29 EF     AND #$EF                          A:3F X:00 Y:00 P:2D SP:FB CYC:243
C819  C9 2F     CMP #$2F                          A:2F X:00 Y:00 P:2D SP:FB CYC:245
C81B  F0 04     BEQ $C821                         A:2F X:00 Y:00 P:2F SP:FB CYC:247
C821  EA        NOP                               A:2F X:00 Y:00 P:2F SP:FB CYC:249
C822  A9 FF     LDA #$FF                          A:2F X:00 Y:00 P:2F SP:FB CYC:251
C824  48        PHA                               A:FF X:00 Y:00 P:AD SP:FB CYC:253
C825  28        PLP                               A:FF X:00 Y:00 P:AD SP:FA CYC:256
C826  D0 09     BNE $C831                         A:FF X:00 Y:00 P:EF SP:FB CYC:260
C828  10 07     BPL $C831                         A:FF X:00 Y:00 P:EF SP:FB CYC:262
C82A  50 05     BVC $C831                         A:FF X:00 Y:00 P:EF SP:FB CYC:264
C82C  90 03     BCC $C831                         A:FF X:00 Y:00 P:EF SP:FB CYC:266
C82E  4C 35 C8  JMP $C835                         A:FF X:00 Y:00 P:EF SP:FB CYC:268
C835  EA        NOP                               A:FF X:00 Y:00 P:EF SP:FB CYC:271
C836  A9 04     LDA #$04                          A:FF X:00 Y:00 P:EF SP:FB CYC:273
C838  48        PHA                               A:04 X:00 Y:00 P:6D SP:FB CYC:275
C839  28        PLP                               A:04 X:00 Y:00 P:6D SP:FA CYC:278
C83A  F0 09     BEQ $C845                         A:04 X:00 Y:00 P:24 SP:FB CYC:282
C83C  30 07     BMI $C845                         A:04 X:00 Y:00 P:24 SP:FB CYC:284
C83E  70 05     BVS $C845                         A:04 X:00 Y:00 P:24 SP:FB CYC:286
C840  B0 03     BCS $C845                         A:04 X:00 Y:00 P:24 SP:FB CYC:288
C842  4C 49 C8  JMP $C849                         A:04 X:00 Y:00 P:24 SP:FB CYC:290
C849  EA        NOP                               A:04 X:00 Y:00 P:24 SP:FB CYC:293
C84A  F8        SED                               A:04 X:00 Y:00 P:24 SP:FB CYC:295
C84B  A9 FF     LDA #$FF                          A:04 X:00 Y:00 P:2C SP:FB CYC:297
C84D  85 01     STA $01 = 80                      A:FF X:00 Y:00 P:AC SP:FB CYC:299
C84F  24 01     BIT $01 = FF                      A:FF X:00 Y:00 P:AC SP:FB CYC:302
C851  18        CLC                               A:FF X:00 Y:00 P:EC SP:FB CYC:305
C852  A9 00     LDA #$00                          A:FF X:00 Y:00 P:EC SP:FB CYC:307
C854  48        PHA                               A:00 X:00 Y:00 P:6E SP:FB CYC:309
C855  A9 FF     LDA #$FF                          A:00 X:00 Y:00 P:6E SP:FA CYC:312
C857  68        PLA                               A:FF X:00 Y:00 P:EC SP:FA CYC:314
C858  D0 09     BNE $C863                         A:00 X:00 Y:00 P:6E SP:FB CYC:318
C85A  30 07     BMI $C863                         A:00 X:00 Y:00 P:6E SP:FB CYC:320
C85C  50 05     BVC $C863                         A:00 X:00 Y:00 P:6E SP:FB CYC:322
C85E  B0 03     BCS $C863                         A:00 X:00 Y:00 P:6E SP:FB CYC:324
C860  4C 67 C8  JMP $C867                         A:00 X:00 Y:00 P:6E SP:FB CYC:326
